iProfile,x,y,Biome,NPP,fBNPP,ANPP,SOC20,SOC40,SOC60,SOC80,SOC100,SOC150,SOC200,BNPP0.5.cm,BNPP5.10.cm,BNPP10.15.cm,BNPP15.20.cm,BNPP20.25.cm,BNPP25.30.cm,BNPP30.35.cm,BNPP35.40.cm,BNPP40.45.cm,BNPP45.50.cm,BNPP50.55.cm,BNPP55.60.cm,BNPP60.65.cm,BNPP65.70.cm,BNPP70.75.cm,BNPP75.80.cm,BNPP80.85.cm,BNPP85.90.cm,BNPP90.95.cm,BNPP95.100.cm,BNPP100.105.cm,BNPP105.110.cm,BNPP110.115.cm,BNPP115.120.cm,BNPP120.125.cm,BNPP125.130.cm,BNPP130.135.cm,BNPP135.140.cm,BNPP140.145.cm,BNPP145.150.cm,BNPP150.155.cm,BNPP155.160.cm,BNPP160.165.cm,BNPP165.170.cm,BNPP170.175.cm,BNPP175.180.cm,BNPP180.185.cm,BNPP185.190.cm,BNPP190.195.cm,BNPP195.200.cm
1,98.04583222,50.85731622,3,429,0.410565147,252.8675519,6478,2179.892,2131.108,1565.12,957.0484,2125.2,1151.465,30.95130146,29.10609934,25.58344074,20.38332567,14.23403503,9.320411538,6.039699326,4.391898392,3.976082724,3.589474278,3.013386139,2.247818305,1.404594864,0.819188077,0.5525929,0.604809333,0.886630112,1.130433439,1.287560806,1.358012214,1.358466614,1.338960861,1.308592566,1.267361728,1.215268348,1.152312425,1.078493959,0.993812951,0.898269401,0.791863307,0.679540443,0.576138124,0.484354042,0.404188199,0.335640594,0.278711227,0.233400098,0.199707208,0.177632555,0.167524688
2,28.22916583,64.85731617,6,430.2,0.378561172,267.3429838,24542.336,20718.1968,20755.512,20757.7888,21305.3918,39769.3065,42750,13.05143127,12.53919988,11.56130357,10.11774236,8.353067646,6.700933641,5.240186563,3.970826414,2.894844391,2.018214092,1.342021625,0.866266991,0.57071136,0.394638249,0.327008298,0.367821507,0.484985296,0.582221927,0.642026357,0.664398586,0.657147495,0.643699729,0.628314677,0.610992339,0.591732716,0.570535807,0.547401613,0.522330132,0.495321367,0.466375315,0.436593353,0.409279601,0.385034811,0.363858981,0.345752112,0.330714204,0.318745256,0.30984527,0.304014244,0.301344248
3,138.3708321,69.25731615,6,180.6,0.514121056,87.74973729,18106.6536,3953.9808,2870.672,2817.36,2055.607,6714.225,1451.4225,20.64443493,19.27119784,16.6495634,12.7795316,8.199086055,4.522177573,2.042251756,0.759308605,0.424702615,0.292497268,0.227067744,0.228414041,0.275293,0.303975136,0.302873271,0.271987404,0.221902821,0.184375376,0.165178862,0.164313279,0.176898497,0.188294128,0.195838282,0.199530959,0.19937216,0.195361884,0.187500132,0.175786903,0.160222198,0.140806016,0.118889098,0.098523664,0.08044648,0.064657548,0.051156867,0.039944437,0.031020257,0.024384329,0.020036652,0.018045874
4,24.97083251,-13.58435019,2,834.4,0.316054707,570.6839525,3164.812,1470.528,1040.554,764.9532,700.488,1547.832,1346.8,32.42003006,30.84875557,27.84904973,23.42091252,18.16770322,13.89949955,10.94540658,9.305424294,8.610873987,7.755719527,6.538863437,4.960305716,3.263794895,2.18057657,1.843604484,2.252878638,3.179455471,3.936504303,4.399146828,4.567383047,4.501025737,4.379513227,4.23547067,4.068898066,3.879795413,3.668162713,3.433999966,3.17730717,2.898084327,2.596331437,2.284089767,1.997483126,1.743079479,1.520878825,1.330881164,1.173086496,1.047494822,0.954106141,0.892920454,0.86490385
5,49.63749908,62.84898284,6,405,0.201331863,323.4605955,11351.9488,8229.3636,7625.4314,8275.3312,8277.936,17810.847,21797.958,18.72054354,17.25841924,14.46709103,10.34655891,5.532457213,1.931688956,0.11391012,0,0.137653998,0.667132392,0.949897669,0.927619427,0.680578616,0.44961809,0.278527457,0.167306717,0.107612029,0.074411871,0.063155057,0.073841588,0.100579624,0.125693655,0.14596995,0.161408509,0.172009333,0.177772422,0.178697774,0.174785392,0.166035273,0.15244742,0.135480852,0.119512636,0.105338601,0.092958748,0.082373077,0.073581587,0.066584279,0.061381152,0.057972207,0.056411269
6,141.520832,60.12398285,6,300.4,0.352095833,194.6304118,6524.6816,2012.9664,1098.2304,729,787.455,970.288,727.272,21.84884372,20.44179536,17.75561213,13.79029402,9.102327689,5.36117306,2.870368306,1.629913427,1.354834809,1.190211613,0.980603684,0.726011024,0.458046472,0.271548554,0.183760637,0.19468272,0.276977476,0.348632919,0.394737778,0.415292054,0.415226322,0.409332309,0.40029942,0.388127655,0.372817015,0.354367498,0.332779105,0.308051837,0.280185692,0.249180672,0.216471589,0.186362881,0.159637174,0.136294468,0.116334763,0.099758058,0.086564355,0.076753653,0.070325951,0.06738274
7,-131.2958335,60.40731618,6,175.4,0.381202278,108.5371204,5257.9296,1886.599,1231.4432,759.314,629.0994,1308.16,1265.382,5.026829245,4.861073633,4.544631102,4.07750165,3.499580953,2.930556033,2.392188165,1.88447735,1.423780057,1.059165693,0.799555968,0.644950882,0.569074743,0.493100478,0.402695891,0.297860982,0.19152826,0.12249525,0.097816048,0.117490654,0.169758889,0.219340219,0.259820002,0.291198237,0.313474925,0.326650064,0.330723657,0.325695701,0.311566198,0.288335148,0.258696183,0.230730209,0.205906478,0.184224992,0.165685751,0.150288753,0.138034,0.128921492,0.122951227,0.120217475
8,21.63749919,-28.38435013,8,163.2,0.423604698,94.06771329,1808.352,1308.231,1009.4736,852.852,882.9,1785.6,1175.72,8.518797413,7.922721831,6.784759357,5.10490999,3.159997455,1.780492919,1.117391142,1.170692123,1.724236421,2.12954571,2.268714842,2.141743816,1.813215789,1.476880226,1.167964306,0.886468027,0.644364321,0.477571983,0.392621702,0.389513479,0.44875835,0.511889428,0.568276369,0.617919173,0.66081784,0.69697237,0.726382763,0.749049019,0.764971138,0.77414912,0.777998293,0.780764644,0.783220168,0.785364866,0.787198739,0.788721786,0.789934007,0.790835402,0.791425971,0.791696389
9,-78.04583374,38.13231627,3,707.1,0.370989113,444.7735982,2804.8408,1163.616,735.7788,778.596,669.864,1315.508,981.36,14.726355,14.9777943,15.45781479,16.16641647,16.81405936,16.53212356,15.16267817,12.7057232,9.528456289,6.732470367,4.518055062,2.885210374,1.786124285,1.077360741,0.732840461,0.752563443,1.036985345,1.287473135,1.449729898,1.523755635,1.527216983,1.513113856,1.491082602,1.461123221,1.423235712,1.377420076,1.323676313,1.262004422,1.192404404,1.114876259,1.033026771,0.957676291,0.890792158,0.832374371,0.78242293,0.740937835,0.707919085,0.683366682,0.667280625,0.659914904
10,-99.07083366,36.40731628,4,288.3,0.470385056,152.6879884,3926.6052,2356.506,1577.2848,1200.9312,919.9008,1860.99,1774.1625,19.30288943,18.37973179,16.61733993,14.01571385,10.90992745,8.305202417,6.384306341,5.147239218,4.429703656,3.738807481,2.984933933,2.168083011,1.370336202,0.837937962,0.615660011,0.703502348,1.012403945,1.275181718,1.443256924,1.516629563,1.513413208,1.487948581,1.450115813,1.399914904,1.337345854,1.262408663,1.17510333,1.075429856,0.963388241,0.838978485,0.707903483,0.587271919,0.480194463,0.386671116,0.306701877,0.240286746,0.187425723,0.148118809,0.122366004,0.110573929
